cell_id_cov,row_cov,col_cov,center_x_cov,center_z_cov,covered,idx,cell_id_unc,row_unc,col_unc,center_x_unc,center_z_unc,feature_density_norm,uncertainty,priority
737,23,24,0.9536517213745554,-9.832993293053043,0,737,737,23,24,0.9536517213745554,-9.832993293053043,0.0,1.0,1.5
738,23,25,1.9536517213745557,-9.832993293053043,0,738,738,23,25,1.9536517213745557,-9.832993293053043,0.0,1.0,1.5
739,23,26,2.9536517213745554,-9.832993293053043,0,739,739,23,26,2.9536517213745554,-9.832993293053043,0.0,1.0,1.5
740,23,27,3.953651721374555,-9.832993293053043,0,740,740,23,27,3.953651721374555,-9.832993293053043,0.0,1.0,1.5
741,23,28,4.9536517213745554,-9.832993293053043,0,741,741,23,28,4.9536517213745554,-9.832993293053043,0.0,1.0,1.5
742,23,29,5.9536517213745554,-9.832993293053043,0,742,742,23,29,5.9536517213745554,-9.832993293053043,0.0,1.0,1.5
743,23,30,6.9536517213745554,-9.832993293053043,0,743,743,23,30,6.9536517213745554,-9.832993293053043,0.0,1.0,1.5
744,24,0,-23.046348278625445,-8.832993293053043,0,744,744,24,0,-23.046348278625445,-8.832993293053043,0.0,1.0,1.5
745,24,1,-22.046348278625445,-8.832993293053043,0,745,745,24,1,-22.046348278625445,-8.832993293053043,0.0,1.0,1.5
746,24,2,-21.046348278625445,-8.832993293053043,0,746,746,24,2,-21.046348278625445,-8.832993293053043,0.0,1.0,1.5
747,24,3,-20.046348278625445,-8.832993293053043,0,747,747,24,3,-20.046348278625445,-8.832993293053043,0.0,1.0,1.5
748,24,4,-19.046348278625445,-8.832993293053043,0,748,748,24,4,-19.046348278625445,-8.832993293053043,0.0,1.0,1.5
749,24,5,-18.046348278625445,-8.832993293053043,0,749,749,24,5,-18.046348278625445,-8.832993293053043,0.0,1.0,1.5
750,24,6,-17.046348278625445,-8.832993293053043,0,750,750,24,6,-17.046348278625445,-8.832993293053043,0.0,1.0,1.5
751,24,7,-16.046348278625445,-8.832993293053043,0,751,751,24,7,-16.046348278625445,-8.832993293053043,0.0,1.0,1.5
752,24,8,-15.046348278625445,-8.832993293053043,0,752,752,24,8,-15.046348278625445,-8.832993293053043,0.0,1.0,1.5
753,24,9,-14.046348278625445,-8.832993293053043,0,753,753,24,9,-14.046348278625445,-8.832993293053043,0.0,1.0,1.5
